ID,Trail,Endpoints,Miles,node_A,node_B,cost_A_to_B,cost_B_to_A,is_required,node_A_is_campsite,node_B_is_campsite,elev_A,elev_B,gain_A_to_B,gain_B_to_A,is_trail_closed,node_A_overnight_closed,node_B_overnight_closed
199,Little Greenbrier,Wear Cove Gap Road - Little Brier Gap,1.9,TH072,TI078,2700,2414,1,0,0,1824,2170,545,200,0,0,0
200,Little Greenbrier,Little Brier Gap - Laurel Falls,2.4,TI078,TI083,4309,3161,1,0,0,2170,3640,1516,45,0,0,0
201,Little River,Elkmont Road - Cucumber Gap,2.4,TH093,TI101,3104,2574,1,0,0,2170,2554,439,55,0,0,0
202,Little River,Cucumber Gap - Huskey Gap,0.4,TI101,TI104,504,425,1,0,0,2554,2610,71,15,0,0,0
203,Little River,Huskey Gap - Goshen Prong,1,TI104,TI108,1203,1034,1,0,0,2610,2732,139,17,0,0,0
204,Little River,Goshen Prong - Rough Creek,0.8,TI108,BC024,1003,799,1,0,1,2732,2873,144,3,0,0,0
205,Little River,Rough Creek - CS #30,1.8,BC024,BC030,2430,1824,1,1,1,2873,3386,526,12,0,0,0
206,Long Bunk,Little Cataloochee - Mount Sterling,3.6,TI274,TI267,5762,4822,1,0,0,3070,4206,1562,426,0,0,0
207.1,Long Hungry Ridge,Twentymile - Campsite 92,1.1,TI021,BC092,1525,1360,1,0,1,2364,2505,258,118,0,0,0
207.2,Long Hungry Ridge,Campsite 92 - Gregory Bald,3.4,BC092,TI014,6112,4548,1,1,0,2505,4592,2164,76,0,0,0
208,Loop,Indian Creek - Sunkota Ridge,0.5,TI171,TI167,989,703,1,0,0,2021,2392,372,1,0,0,0
209,Loop,Sunkota Ridge - Deep Creek,0.6,TI167,TI165,916,1233,1,0,0,2392,1953,16,455,0,0,0
210.1,Lost Cove,Lakeshore - Campsite 91,0.6,TI030,BC091,1175,976,1,0,1,1841,2038,289,93,0,0,0
210.2,Lost Cove,Campsite 91 - AT,2.1,BC091,TI024,4343,3209,1,1,0,2038,3671,1721,88,0,0,0
211,Low Gap I,Big Creek - AT,2.5,BC037,TI244,4353,3441,1,1,0,3006,4238,1447,214,0,0,0
212.1,Low Gap II,Cosby Campground - Lower Mt. Cammerer,0.4,CGCOS,TI238,627,510,1,1,0,2218,2345,153,27,0,0,0
212.2,Low Gap II,Lower Mt. Cammerer - Cosby Campground B Spur,0.4,TI238,TI240,723,527,1,0,0,2345,2573,234,6,0,0,0
213,Low Gap II,Cosby Horse - AT,2.1,TI240,TI244,4099,2898,1,0,0,2573,4238,1666,1,0,0,0
214,Lower Mount Cammerer,Cosby Campground - Low Gap II,0.1,TH235,TI238,158,151,1,0,0,2337,2345,24,16,0,0,0
215.1,Lower Mount Cammerer,Low Gap II - Campsite 35,3.3,TI238,BC035,4562,4269,1,0,1,2345,2630,844,558,0,0,0
215.2,Lower Mount Cammerer,Campsite 35 - AT,4,BC035,TI254,6181,5453,1,1,0,2630,3464,1378,545,0,0,0
216,Lumber Ridge,Tremont Road - Meigs Mountain,4.1,TH061,TI067,6326,5448,1,0,0,1354,2411,1542,485,0,0,0
217.1,Lynn Camp Prong,Greenbrier Ridge - Campsite 28,1.5,TI077,BC028,1969,1654,1,0,1,3186,3455,324,56,0,0,0
217.2,Lynn Camp Prong,Campsite 28 - Miry Ridge,2.2,BC028,TI088,3561,2750,1,1,0,3455,4417,1060,98,0,0,0
218,Maddron Bald,Laurel Springs Road - Old Settlers,1.2,TH220,TI219,1923,1416,1,0,0,1866,2421,563,8,0,0,0
219,Maddron Bald,Old Settlers - Albright Grove I,1.7,TI219,TI217,2674,2070,1,0,0,2421,3111,748,57,0,0,0
220,Maddron Bald,Albright Grove I - Albright Grove II,0.3,TI217,TI218,549,399,1,0,0,3111,3299,189,1,0,0,0
221.1,Maddron Bald,Albright Grove II - Campsite 29,2.4,TI218,BC029,4083,3049,1,0,1,3299,4525,1288,62,0,0,0
221.2,Maddron Bald,Campsite 29 - Snake Den Ridge,1.6,BC029,TI221,2644,1932,1,1,0,4525,5412,909,21,0,0,0
222,Martins Gap,Indian Creek - Sunkota Ridge,1.5,BC046,TI173,2663,2051,1,1,0,2621,3394,850,77,0,0,0
223,Martins Gap,Sunkota Ridge - Deep Creek,1.5,TI173,BC057,2163,2896,1,0,1,3394,2422,47,1019,0,0,0
224,McKee Branch,Cataloochee Divide - Caldwell Fork,2.3,TI278,TI269,3349,4621,1,0,0,4811,3064,33,1780,0,0,0
225,Meigs Creek,Little River Road - Lumber Ridge,3.5,TH066,TI067,5160,4388,1,0,0,1563,2411,1233,385,0,0,0
226.1,Meigs Mountain,Jakes Creek - Campsite 20,1.9,TI089,BC020,2778,2772,1,0,1,2499,2496,513,517,0,0,0
226.2,Meigs Mountain,Campsite 20 - Curry Mountain,2.2,BC020,TI076,3098,2788,1,1,0,2496,2837,581,240,0,0,0
227.1,Meigs Mountain,Curry Mountain - Campsite 19,0.5,TI076,BC019,583,548,1,0,1,2837,2864,77,49,0,0,0
227.2,Meigs Mountain,Campsite 19 - Lumber Ridge,1.4,BC019,TI067,2116,2462,1,1,0,2864,2411,208,662,0,0,0
228,Metcalf Bottoms,Metcalf Bottoms Picnic Area - Little Brier Gap,0.7,TH069,TH073,958,835,1,0,0,1679,1784,185,81,0,0,0
229,Middle Prong,Tremont Road - Panther Creek,2.3,TH063,TI074,3459,2585,1,0,0,1910,2625,754,38,0,0,0
230,Middle Prong,Panther Creek - Greenbrier Ridge,1.8,TI074,TI077,2549,1912,1,0,0,2625,3186,587,26,0,0,0
231,Mingus Creek,Newfound Gap Road - Deeplow Gap,2.9,TH200,TI195,4974,3718,1,0,0,2078,3594,1603,86,0,0,0
232,Mingus Creek,Deeplow Gap - Newton Bald,2.8,TI195,TI191,4945,3793,1,0,0,3594,5053,1578,119,0,0,0
233.1,Miry Ridge,Jakes Creek - Campsite 26,1.9,TI085,BC026,2856,2499,1,0,1,4059,4541,705,223,0,0,0
233.2,Miry Ridge,Campsite 26 - Lynn Camp Prong,0.6,BC026,TI088,711,826,1,1,0,4541,4417,43,167,0,0,0
234,Miry Ridge,Lynn Camp Prong - AT,2.5,TI088,TI087,3544,3052,1,0,0,4417,4957,780,239,0,0,0
235,Mount Cammerer,AT - Lookout Tower,0.6,TI249,TI253,858,890,1,0,0,4948,4917,143,176,0,0,0
236,Mount Sterling Ridge,Mt. Sterling - Pretty Hollow Gap,1.4,TI259,TI256,1812,2210,1,0,0,5681,5176,132,636,0,0,0
237,Mount Sterling Ridge,Pretty Hollow Gap - Balsam Mountain,3.9,TI256,TI242,5377,5090,1,0,0,5176,5545,917,548,0,0,0
238,Mount Sterling,Old NC 284 Road - Long Bunk,0.5,TH273,TI267,901,668,1,0,0,3888,4206,329,11,0,0,0
239,Mount Sterling,Long Bunk - Mt. Sterling Ridge,1.8,TI267,TI259,3685,2640,1,0,0,4206,5681,1487,12,0,0,0
240,Mount Sterling,Mt. Sterling Ridge - Tower,0.4,TI259,BC038,576,447,1,0,1,5681,5839,171,12,0,0,0
241,Newton Bald,Newfound Gap Road - Mingus Creek,4.7,TH201,TI191,9180,7055,1,0,0,2184,5053,3173,303,0,0,0
242.1,Newton Bald,Mingus Creek - Campsite 52,0.6,TI191,BC052,677,772,1,0,1,5053,4949,38,143,0,0,0
242.2,Newton Bald,Campsite 52 - Thomas Divide,0.1,BC052,TI189,115,104,1,1,0,4949,4960,17,6,0,0,0
